trait_category,trait_full,trait_clean,Forest ecology - Y/N,"Year of earliest publication w/o ""remote sens*""","Count of references w/o ""remote sens*""","Search (w/o ""remote sens*"")","Year of earliest publication w/ ""remote sens*""","Count of references w/ ""remote sens*""",add to search in first TS,List of references (horizontal),,,,,,,,,,,,,,,,,,,,,
Morphological,stem diameter; DBH,DBH,Y,2013,103,"TS =( ""diameter at breast height"" OR DBH OR ""stem diam*"" )",1993,445,,Krisanski et al. 2018,Jaakkola et al. 2017,Brede et al. 2017,Wieser et al. 2017,Carr & Slyder 2018,Kattenborn et al. 2018,Abdollahnejad et al. 2018,Saarinen et al. 2018,Mokros et al. 2018,Kuželka and Surový 2018,Qiu et al. 2018,Gonzalez-Jaramillo et al. 2019,,,,,,,,,,
Morphological,wood density or stem-specific density,wood density ,Y,2019,2,"TS =(""wood densit*"" or ""stem-specific densit*"")",2004,66," OR ""remote sens*""",,,,,,,,,,,,,,,,,,,,,,
Phenological,grain filling rate,grain filling rate,N,2017,,"ALL=( ""grain filling"" rate ) ",2005,,,Shimojima et al. 2017,,,,,,,,,,,,,,,,,,,,,
Phenological,greenness,greenness,N,2013,,( TI=(greenness) OR TS=(greenness) OR ALL=(greenness) ),1990,,,van Iersel et al. 2018,Borra-Serrano et al. 2018,Guan et al. 2018,,,,,,,,,,,,,,,,,,,
Phenological,average growth rate of plant height,average growth rate of plant height,N,2018,,"( TI=(""average growth"" rate of ""plant height"") OR TS=(""average growth"" rate of ""plant height"") OR ALL=(""average growth"" rate of ""plant height"") ) ",2018,,,Han et al. 2018,,,,,,,,,,,,,,,,,,,,,
Phenological,budburst,budburst,Y,2017,2,TS =(budburst),2007,30,,Klosterman & Richardson 2017,,,,,,,,,,,,,,,,,,,,,
Phenological,contribution rate of plant height,contribution rate of plant height,N,2018,,"( TI=(""contribut* rate"" of plant height OR ""CRPH"") OR TS=(""contribut* rate"" of plant height OR ""CRPH"") OR ALL=(""contribut* rate"" of plant height OR ""CRPH""))",2018,,,Han et al. 2018,,,,,,,,,,,,,,,,,,,,,
Phenological,leaf flushing,leaf flush,Y,2013,10,"TS =(""leaf flush*"" OR ""foliar flush*"" OR ""green up"")",1998,170,,Fletcher & Erskine 2013,Dandois & Ellis 2013,Klosterman & Richardson 2017,,,,,,,,,,,,,,,,,,,
Phenological,plant flower timing,plant flower timing,N,2015,,"( TI=(""plant flower tim*"" OR ""floral tim*"" OR ""flowering"") OR TS=(""plant flower tim*"" OR ""floral tim*"" OR ""flowering"") OR ALL=(""plant flower tim*"" OR ""floral tim*"" OR ""flowering""))",1990,,,Li et al. 2014 (see Table 1),Sankaran et al. 2018,Xu et al. 2019,Zhang et al. 2018,,,,,,,,,,,,,,,,,,
Phenological,seedling emergence,seedling emergence,N,2015,,"( TI=(""seed* emerg*"" R ""seed* grow*"") OR TS=(""seed* emerg*"" OR ""seed* grow*"") OR ALL=(""seed* emerg*"" OR ""seed* grow*"") )",2006,,,Sankaran et al. 2015,Chiluwal et al. 2018,Li et al. 2019,Liu et al. 2017,,,,,,,,,,,,,,,,,,
Phenological,senescence,senescence,Y,2014,19,TS =(senescence),1991,181,,Makanza et al. 2018,Hassan et al. 2018,Kolarik et al. 2019,Chen et al. 2019,Buchaillot et al. 2019,Marcial-Pable et al. 2018,Hassan et al. 2018,Makanza et al. 2018,Klosterman et al. 2017,Potgieter et al. 2017,,,,,,,,,,,,
Physiological,water content/stress,water content,Y,2009,123,"TS =( ""water content"" OR ""water stress"" OR ""water status"" ) ",1991,960,,Li et al. 2014 (see Table 1),Gonzalez-Dugo et al. 2013,Poblete et al. 2018,Berni et al. 2009,Santini et al. 2019,Zarco-Tejada et al. 2012,Zarco-Tejada et al. 2013,Gago et al. 2015,Zhao et al. 2016,Zhao et al. 2016,Romero-Trigueros et al. 2017,Gago et al. 2017,de Castro et al. 2018,Virlet et al. 2014,Joalland et al. 2018,,,,,,,
Physiological,crop damage/mortality,crop damage/mortality,N,2007,,"ALL=( ""crop damage"" OR ""crop mortality"" OR ""plant damage"" OR ""plant mortality"" OR ""veg* damage"" OR ""veg* mortality"" OR blight OR ""yield loss*"" OR ""loss* of yield"" OR disease*)",1971,,,Li et al. 2014 (see Table 1),Calderon et al. 2014,West & Kimber 2014,Di Gennaro et al. 2016,Franceschini et al 2017,Pugh et al. 2018,Joalland et al. 2018,Zhao et al. 2018,Franceschini et al. 2019,Wilke et al. 2019,Duarte-Carvajalino et al. 2018,Han et al. 2018,,,,,,,,,,
Physiological,NDVI,NDVI,Y,2011,44,TS =(NDVI),1993,2733," OR ""remote sens*""",Guillen-Climent et al. 2012,Burkart et al. 2015,Liebisch et al. 2015,Matese et al. 2015,Balota & Oakes 2016,Shi et al. 2016,van Iersel et al. 2016,Shi et al. 2016,Tattaris et al. 2016,Inostroza et al. 2016,Boon & Tesfamichael 2017,Nolet et al. 2018,Condorelli et al. 2018,Han et al. 2018,Xu et al. 2019,,,,,,,
Physiological,REIP,REIP,N,2015,,( TI=(REIP) OR TS=(REIP) OR ALL=(REIP) ),1995,,,Burkart et al. 2015,,,,,,,,,,,,,,,,,,,,,
Physiological,SAVI,SAVI,N,2014,,( TI=(SAVI) OR TS=(SAVI) OR ALL=(SAVI) ),1991,,,Shi et al. 2016,,,,,,,,,,,,,,,,,,,,,
Physiological,fraction of absorbed PAR (faPAR),faPAR,Y,2012,19,"TS =(""photosynth* active radiat*"" OR PAR OR faPAR) ",1991,471,,Guillen-Climent et al. 2012,Liebisch et al. 2015,Tewes & Schellberg 2018,,,,,,,,,,,,,,,,,,,
Physiological,canopy conductance,canopy conductance,N,2009,,"( TI=(""canopy conduct*"") OR TS=(""canopy conduct*"") OR ALL=(""canopy conduct*"") )",1994,,,Berni et al. 2009,Gago et al. 2015,,,,,,,,,,,,,,,,,,,,
Physiological,crop yield,crop yield,N,1997,,( TI=(yield) OR TS=( yield) OR ALL=(yield) ),1977,,,Sankaran et al. 2016,Yu et al. 2016,Shimojima et al. 2017 (280s?),,Haghighattalab et al. 2017,Kefauver et al. 2017,Gracia-Romero et al. 2017,Marino & Alvino et al. 2018,Joalland et al. 2018,Hassan et al. 2018,Sankaran et al. 2018,Wilke et al. 2019,Yeom et al. 2018,,,,,,,,,
Physiological,defense compounds - polyphenols & lignin,defense compounds - polyphenols & lignin,N,2015,,"( TI=(""leaf defense compound*"" OR ""foliar defense compound*"" OR polyphenol* OR lignin) OR TS=(""leaf defense compound*"" OR ""foliar defense compound*"" OR polyphenol* OR lignin ) OR ALL=(""leaf defense compound*"" OR ""foliar defense compound*"" OR polyphenol* OR lignin) )",1992,,,,,,,,,,,,,,,,,,,,,,,,
Physiological,leaf anthocyanin,foliar anthocyanin,Y,2021,6,"TS =(""anthocyanin*"") ",2001,39,,Zarco-Tejada et al. 2013,Albetis et al. 2017,Romboli et al. 2017,Zecha et al. 2018,Nuttall et al. 2018,,,,,,,,,,,,,,,,,
Physiological,leaf carotenoids,foliar carotenoids,Y,2012,20,"TS =(""carotenoid*"")",1998,115,,Maciel et al. 2019,Hank et al. 2019,Albetis et al. 2019,Zarco-Tejada et al. (2013),,,,,,,,,,,,,,,,,,
Physiological,leaf chlorophyll,foliar chlorophyll,Y,2011,261,"TS =(""chlorophyl*"") ",1991,1396," OR ""remote sens*""",Berni et al. 2009,Zarco-Tejada et al. 2013,Burkart et al. 2015,Capolupo et al. 2015,van der Meij et al. 2017,Romero-Trigueros et al. 2017,Romero-Trigueros et al. 2017,Franceschini et al. 2017,Maimaitijiang et al. 2017,Tomelleri & Aguilar 2018,Aasen & Bolten 2018,Joalland et al. 2018,Hassan et al. 2018,Li et al. 2018,Ma et al. 2018,Elarab et al. (2015),,,,,,
Physiological,photosynthetic efficiency,photosynthetic efficiency,Y,2019,2,"TS =(""photosynthe* efficien*"")",1997,36,,Santini et al. 2019,Xue et al. 2017,Li et al. 2014 (see Table 1),,,,,,,,,,,,,,,,,,,
Physiological,photosynthetic pigments,photosynthetic pigments,Y,2019,6,"TS =(""photosynthe* pigment*"" OR ""photosynthe* hue"" OR ""photosynthe* color"")",1995,37,,Santini et al. 2019,,,,,,,,,,,,,,,,,,,,,
Physiological,stomatal conductance,stomatal conductance,Y,2009,21,"TS =(""stomat* conduct*"")",1994,162,,Ludovisi et al. 2017,Romero-Trigueros et al. 2017,,,,,,,,,,,,,,,,,,,,
Physiological,vegetation health,vegetation health,Y,2015,44,"TS =(""vegeta* health"" OR ""leaf health"" OR ""forest health"")",1994,321,,Li et al. 2014 (see Table 1),,,,,,,,,,,,,,,,,,,,,
Physiological,water use,water use,Y,2009,27,"TS =(""water us*"" OR ""us* of water"" OR ""water efficien*"")",1993,369,,Gago et al. 2014,,,,,,,,,,,,,,,,,,,,,
Physiological,NBR,NBR,Y,2017,6,"TS =(""normalized burn ratio"" OR ""NBR"")",2004,266,,,,,,,,,,,,,,,,,,,,,,,
Physiological,specific leaf area,SLA,Y,2021,4,"TS=(""specific leaf area"" OR SLA)",1998,45,,,,,,,,,,,,,,,,,,,,,,,
Population,weed distribution,weed distribution,N,2004,,"( TI=(""weed* distribut*"" OR ""weed* cover*"" OR ""weed* outbreak*"" OR ""weed* spread*"" OR ""weed* manage*"") OR TS=(""weed* distribut*"" OR ""weed* cover*"" OR ""weed* spread*"" OR ""weed* outbreak*"" OR ""weed* manage*"") OR ALL=(""weed* distribut*"" OR ""weed* spread*"" OR ""weed* cover*"" OR ""weed* outbreak*"" OR ""weed* manage*"") )",2000,,,Huang et al. 2018a,Huang et al. 2018b,Herwitz et al. 2004,Bajwa et al. 2015,Shi et al. 2016,,,,,,,,,,,,,,,,,
Population,count of individuals,stem count,Y,2015,9,"TS =(""number* of individual*"" OR ""number* of plant*"" OR ""count* of individual"" OR ""individual count"") ",1995,37,,Baxter & Hamilton 2018,Fletcher & Erskine 2013,Shi et al. 2016,Chen et al. 2017,Zhao et al. 2018,Guo et al. 2018,Yang et al. 2019,Tu et al. 2019,Johansen et al. 2018,,,,,,,,,,,,,
Population,fruit density,fruit density,N,2021,,"( TI=(""fruit densit*"" OR""densit* of fruit*"" OR ""densit* of head*"" OR ""head densit*"") OR TS=(""fruit densit*"" OR""densit* of fruit*"" OR ""densit* of head*"" OR ""head densit*"") OR ALL=(""fruit densit*"" OR""densit* of fruit*"" OR ""densit* of head*"" OR ""head densit*"") )",2004,,,Madec et al. 2019,Yang et al. 2019,,,,,,,,,,,,,,,,,,,,
Population,individual or stem density,stem density,Y,2015,52,"TS =(""plant densit*"" OR ""individual densit*"" OR ""stem densit*"" OR ""tree densit*"") ",1994,318,,Hardin & Jackson 2005,Liebisch et al. 2015,,,,,,,,,,,,,,,,,,,,
Population,longevity,longevity,Y,2023,2,TS =(longevity OR lifespan),1998,29," OR ""remote sens*""",,,,,,,,,,,,,,,,,,,,,,
Soil,soil chemistry,soil chemistry,N,2018,,"( TI=(""soil *chemi*"" OR ""*chemi* soil"") OR TS=(""soil *chemi*"" OR ""*chemi* soil"") OR ALL=(""soil *chemi*"" OR "" *chemi* soil"") )",1991,,,,,,,,,,,,,,,,,,,,,,,,
Soil,soil moisture,soil moisture,N,2004,,"ALL=(""soil moisture"") ",1971,,,Archer et al. 2004,,,,,,,,,,,,,,,,,,,,,
Soil,soil nitrogen,soil nitrogen,N,2019,,"ALL=(""soil nitrogen"") ",1999,,,Papadopoulos et al. 2014,,,,,,,,,,,,,,,,,,,,,
